Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Steven Adams (17225350),Steven Adams,17225350,C/UTIL,5300,SA@NO 04/24/2021 08:00PM ET,NO,24.87
PF,Keldon Johnson (17225356),Keldon Johnson,17225356,PF/F/UTIL,5300,SA@NO 04/24/2021 08:00PM ET,SA,25.43
SG,Kentavious Caldwell-Pope (17225362),Kentavious Caldwell-Pope,17225362,SG/G/UTIL,5200,LAL@DAL 04/24/2021 08:30PM ET,LAL,18.12
SG/SF,Duncan Robinson (17225379),Duncan Robinson,17225379,SG/SF/F/G/UTIL,5200,CHI@MIA 04/24/2021 08:00PM ET,MIA,22.98
PG/SG,Eric Bledsoe (17225368),Eric Bledsoe,17225368,PG/SG/G/UTIL,5200,SA@NO 04/24/2021 08:00PM ET,NO,23.76
PG,Goran Dragic (17225376),Goran Dragic,17225376,PG/G/UTIL,5100,CHI@MIA 04/24/2021 08:00PM ET,MIA,25.17
PG/SG,Cory Joseph (17225372),Cory Joseph,17225372,PG/SG/G/UTIL,5100,DET@IND 04/24/2021 07:00PM ET,DET,17.96
SG/SF,Josh Richardson (17225391),Josh Richardson,17225391,SG/SF/F/G/UTIL,5000,LAL@DAL 04/24/2021 08:30PM ET,DAL,23.44
PG/SG,Tyler Herro (17225387),Tyler Herro,17225387,PG/SG/G/UTIL,5000,CHI@MIA 04/24/2021 08:00PM ET,MIA,28.23
PG/SG,Jalen Brunson (17225398),Jalen Brunson,17225398,PG/SG/G/UTIL,4900,LAL@DAL 04/24/2021 08:30PM ET,DAL,23.51
SF,Talen Horton-Tucker (17225402),Talen Horton-Tucker,17225402,SF/F/UTIL,4900,LAL@DAL 04/24/2021 08:30PM ET,LAL,18.30
PF,Trevor Ariza (17225384),Trevor Ariza,17225384,PF/F/UTIL,4900,CHI@MIA 04/24/2021 08:00PM ET,MIA,19.79
C,Mason Plumlee (17225396),Mason Plumlee,17225396,C/UTIL,4900,DET@IND 04/24/2021 07:00PM ET,DET,29.90
PG,Killian Hayes (17225412),Killian Hayes,17225412,PG/G/UTIL,4800,DET@IND 04/24/2021 07:00PM ET,DET,17.3
PG,Ricky Rubio (17225405),Ricky Rubio,17225405,PG/G/UTIL,4800,MIN@UTA 04/24/2021 09:00PM ET,MIN,25.06
SF/PF,Royce O'Neale (17225408),Royce O'Neale,17225408,SF/PF/F/UTIL,4800,MIN@UTA 04/24/2021 09:00PM ET,UTA,22.25
PF,Markieff Morris (17225415),Markieff Morris,17225415,PF/F/UTIL,4600,LAL@DAL 04/24/2021 08:30PM ET,LAL,16.36
PG,Tomas Satoransky (17225418),Tomas Satoransky,17225418,PG/G/UTIL,4500,CHI@MIA 04/24/2021 08:00PM ET,CHI,20.27
SF,Justin Holiday (17225441),Justin Holiday,17225441,SF/F/UTIL,4500,DET@IND 04/24/2021 07:00PM ET,IND,21.47
SF/PF,James Johnson (17225430),James Johnson,17225430,SF/PF/F/UTIL,4500,SA@NO 04/24/2021 08:00PM ET,NO,17.23
PG/SG,Facundo Campazzo (17225421),Facundo Campazzo,17225421,PG/SG/G/UTIL,4500,HOU@DEN 04/24/2021 10:00PM ET,DEN,14.12
