Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
56787-15952,C,John,John Henson,Henson,16.460000610351564,40,3900,MEM@NY,NY,MEM,O,Calf,,,,C
56787-23120,SF,T.J.,T.J. Warren,Warren,22.075000762939453,4,3900,IND@ORL,IND,ORL,O,Foot,,,,SF
56787-145533,PF,Kenyon,Kenyon Martin,Martin,17.108333587646484,24,3900,HOU@LAC,HOU,LAC,,,,,,PF
56787-12474,PG,Patrick,Patrick Beverley,Beverley,19.44193587764617,31,3900,HOU@LAC,LAC,HOU,O,Hand,,,,PG
56787-14543,PF,Davis,Davis Bertans,Bertans,17.968420731393916,38,3900,WAS@GS,WAS,GS,,,,,,PF
56787-14559,PG,Isaiah,Isaiah Thomas,Thomas,14.449999809265137,2,3900,PHI@NO,NO,PHI,,,,,,PG
56787-110323,C,Eric,Eric Paschall,Paschall,15.648717635717148,39,3900,WAS@GS,GS,WAS,O,Hip,,,,C
56787-111372,SF,Thanasis,Thanasis Antetokounmpo,Antetokounmpo,8.34871810521835,39,3900,CHA@MIL,MIL,CHA,,,,,,SF
56787-58270,PG,Edmond,Edmond Sumner,Sumner,10.2810809161212,37,3900,IND@ORL,IND,ORL,,,,,,PG
56787-85597,PG,Jordan,Jordan McLaughlin,McLaughlin,17.428125381469727,32,3800,MIN@BOS,MIN,BOS,,,,,,PG
56787-17517,SF,Tony,Tony Snell,Snell,11.184615697616186,39,3800,CHI@ATL,ATL,CHI,,,,,,SF
56787-14505,C,Bismack,Bismack Biyombo,Biyombo,16.80851063829787,47,3800,CHA@MIL,CHA,MIL,,,,,,C
56787-84714,PF,Moritz,Moritz Wagner,Wagner,12.984375,32,3800,MIN@BOS,BOS,MIN,,,,,,PF
56787-110325,PF,Daniel,Daniel Gafford,Gafford,13.978787508877842,33,3800,WAS@GS,WAS,GS,O,Ankle,,,,PF
56787-19781,SF,Kent,Kent Bazemore,Bazemore,14.608163016183036,49,3800,WAS@GS,GS,WAS,,,,,,SF
56787-145334,SG,Desmond,Desmond Bane,Bane,16.94888916015625,45,3800,MEM@NY,MEM,NY,,,,,,SG
56787-145345,PG,Nico,Nico Mannion,Mannion,12.18421052631579,19,3800,WAS@GS,GS,WAS,,,,,,PG
56787-40396,PG,Monte,Monte Morris,Morris,20.28974327674279,39,3800,SA@DEN,DEN,SA,,,,,,PG
56787-9739,C,JaVale,JaVale McGee,McGee,19.071428571428573,35,3700,SA@DEN,DEN,SA,,,,,,C
56787-12334,SG,Avery,Avery Bradley,Bradley,14.100000381469727,16,3700,HOU@LAC,HOU,LAC,,,,,,SG
56787-110640,PF,Luka,Luka Samanic,Samanic,7.776190621512277,21,3700,SA@DEN,SA,DEN,,,,,,PF
56787-12342,PF,Al-Farouq,Al-Farouq Aminu,Aminu,16.927778455946182,18,3700,CHI@ATL,CHI,ATL,,,,,,PF
56787-15417,SF,Solomon,Solomon Hill,Hill,10.964706121706495,51,3700,CHI@ATL,ATL,CHI,,,,,,SF
56787-58461,PF,Trey,Trey Lyles,Lyles,11.052173780358356,23,3700,SA@DEN,SA,DEN,O,Ankle,,,,PF
56787-145547,PG,Facundo,Facundo Campazzo,Campazzo,13.242222764756944,45,3700,SA@DEN,DEN,SA,,,,,,PG
56787-66196,SG,PJ,PJ Dozier,Dozier,16.158333672417534,36,3700,SA@DEN,DEN,SA,,,,,,SG
56787-58576,C,Kevon,Kevon Looney,Looney,13.144999694824218,40,3700,WAS@GS,GS,WAS,,,,,,C
56787-145623,PF,Mamadi,Mamadi Diakite,Diakite,7.600000108991351,7,3700,CHA@MIL,MIL,CHA,,,,,,PF
56787-40208,PG,Raul,Raul Neto,Neto,16.99772782759233,44,3700,WAS@GS,WAS,GS,,,,,,PG
56787-16183,PF,JaKarr,JaKarr Sampson,Sampson,6.994999694824219,20,3700,IND@ORL,IND,ORL,,,,,,PF
56787-16197,SG,Chasson,Chasson Randle,Randle,11.64090936834162,22,3700,IND@ORL,ORL,IND,,,,,,SG
56787-112710,C,Tacko,Tacko Fall,Fall,8.239999898274739,15,3600,MIN@BOS,BOS,MIN,,,,,,C
56787-9939,SG,Patty,Patty Mills,Mills,19.368750254313152,48,3600,SA@DEN,SA,DEN,,,,,,SG
56787-12511,PG,Ish,Ish Smith,Smith,18.26363580877131,22,3600,WAS@GS,WAS,GS,,,,,,PG
56787-110317,PG,Jaylen,Jaylen Nowell,Nowell,17.03611077202691,36,3600,MIN@BOS,MIN,BOS,O,Lower leg,,,,PG
56787-110318,PF,Grant,Grant Williams,Williams,11.511363636363637,44,3600,MIN@BOS,BOS,MIN,,,,,,PF
56787-110320,SF,Matisse,Matisse Thybulle,Thybulle,14.314582824707031,48,3600,PHI@NO,PHI,NO,,,,,,SF
56787-9466,PG,D.J.,D.J. Augustin,Augustin,14.22499974568685,48,3600,HOU@LAC,HOU,LAC,,,,,,PG
56787-110351,SG,Cody,Cody Martin,Martin,10.697368421052632,38,3600,CHA@MIL,CHA,MIL,,,,,,SG
56787-40262,SG,Sterling,Sterling Brown,Brown,17.96938775510204,49,3600,HOU@LAC,HOU,LAC,,,,,,SG
56787-145335,PG,Payton,Payton Pritchard,Pritchard,13.717391304347826,46,3600,MIN@BOS,BOS,MIN,,,,,,PG
56787-58295,PF,D.J.,D.J. Wilson,Wilson,9.290908813476562,22,3600,HOU@LAC,HOU,LAC,,,,,,PF
56787-96775,PF,Norvel,Norvel Pelle,Pelle,7.340000152587891,5,3500,MEM@NY,NY,MEM,,,,,,PF
56787-111622,SF,Garrison,Garrison Mathews,Mathews,11.05000027743253,44,3500,WAS@GS,WAS,GS,,,,,,SF
56787-85521,SG,Theo,Theo Pinson,Pinson,0.3500000068119594,14,3500,MEM@NY,NY,MEM,,,,,,SG
56787-117273,SF,Mychal,Mychal Mulder,Mulder,6.2439024390243905,41,3500,WAS@GS,GS,WAS,,,,,,SF
56787-117283,SF,Oshae,Oshae Brissett,Brissett,3.700000047683716,2,3500,IND@ORL,IND,ORL,,,,,,SF
56787-117285,SF,Vlatko,Vlatko Cancar,Cancar,3.9555556685836226,27,3500,SA@DEN,DEN,SA,,,,,,SF
56787-117291,SG,Armoni,Armoni Brooks,Brooks,,,3500,HOU@LAC,HOU,LAC,,,,,,SG
56787-12340,PF,Patrick,Patrick Patterson,Patterson,9.545833587646484,24,3500,HOU@LAC,LAC,HOU,,,,,,PF
56787-117307,SF,DaQuan,DaQuan Jeffries,Jeffries,7.322222391764323,18,3500,HOU@LAC,HOU,LAC,,,,,,SF
56787-117819,PG,Jared,Jared Harper,Harper,0,4,3500,MEM@NY,NY,MEM,,,,,,PG
56787-112709,SG,Javonte,Javonte Green,Green,8.950000217982701,28,3500,CHI@ATL,CHI,ATL,,,,,,SG
56787-12365,C,Ed,Ed Davis,Davis,12.731578626130757,19,3500,MIN@BOS,MIN,BOS,,,,,,C
56787-145485,PG,LaMelo,LaMelo Ball,Ball,35.08536585365854,41,3500,CHA@MIL,CHA,MIL,O,Wrist,,,,PG
56787-113267,SF,Caleb,Caleb Martin,Martin,11.447222391764322,36,3500,CHA@MIL,CHA,MIL,,,,,,SF
56787-41077,SG,Sindarius,Sindarius Thornwell,Thornwell,3.0714285714285716,14,3500,PHI@NO,NO,PHI,,,,,,SG
56787-41083,PF,Luke,Luke Kornet,Kornet,8.37894720780222,19,3500,MIN@BOS,BOS,MIN,,,,,,PF
56787-145532,SG,Jay,Jay Scrubb,Scrubb,,,3500,HOU@LAC,LAC,HOU,GTD,Foot,,,,SG
