slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
poeltja01,Jakob Poeltl,SAN ANTONIO SPURS,AWAY,DALLAS MAVERICKS,WIN,2074,5,6,0,0,2,3,4,4,2,0,4,1,3,15.4
randlju01,Julius Randle,NEW YORK KNICKS,HOME,TORONTO RAPTORS,WIN,2303,7,19,1,8,11,11,1,7,5,0,0,5,4,15.2
portemi01,Michael Porter,DENVER NUGGETS,HOME,BOSTON CELTICS,LOSS,2101,9,23,1,12,3,3,2,9,0,1,1,0,1,14.9
trentga02,Gary Trent,TORONTO RAPTORS,AWAY,NEW YORK KNICKS,LOSS,2100,9,17,3,8,2,2,0,3,1,0,0,1,1,14.9
ellinwa01,Wayne Ellington,DETROIT PISTONS,AWAY,LOS ANGELES CLIPPERS,LOSS,1515,5,7,5,7,0,0,1,1,4,0,1,1,2,14.8
roziete01,Terry Rozier,CHARLOTTE HORNETS,HOME,ATLANTA HAWKS,LOSS,2175,7,17,4,9,0,0,2,4,4,1,1,1,1,14.6
noelne01,Nerlens Noel,NEW YORK KNICKS,HOME,TORONTO RAPTORS,WIN,1681,4,7,0,0,1,2,5,8,1,1,4,0,3,14.5
reidna01,Naz Reid,MINNESOTA TIMBERWOLVES,HOME,CHICAGO BULLS,WIN,1700,6,9,2,4,4,4,0,1,2,0,0,1,1,14.4
richajo01,Josh Richardson,DALLAS MAVERICKS,HOME,SAN ANTONIO SPURS,LOSS,2145,7,14,2,5,0,0,4,1,3,1,0,0,2,14.4
powelno01,Norman Powell,PORTLAND TRAIL BLAZERS,HOME,MIAMI HEAT,LOSS,1996,7,13,1,4,2,2,1,3,2,2,0,1,1,14.3
anderky01,Kyle Anderson,MEMPHIS GRIZZLIES,HOME,INDIANA PACERS,LOSS,1657,5,13,1,2,4,4,3,2,2,3,0,0,2,14.2
campafa01,Facundo Campazzo,DENVER NUGGETS,HOME,BOSTON CELTICS,LOSS,2006,5,6,3,3,1,1,1,2,4,0,1,2,1,14.2
herroty01,Tyler Herro,MIAMI HEAT,AWAY,PORTLAND TRAIL BLAZERS,WIN,1802,6,11,1,2,1,2,1,6,3,2,0,1,0,13.9
theisda01,Daniel Theis,CHICAGO BULLS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1712,5,10,2,6,1,2,1,6,3,3,0,1,1,13.8
